,portfolio_value,daily_return
2024-04-01,1.000254091912384,0.00025409191238398094
2024-04-02,1.0032750060390183,0.0030201467317755777
2024-04-03,1.0003192018226474,-0.0029461555391882394
2024-04-08,0.989654121315515,-0.010661677280312103
2024-04-09,0.9916366721626939,0.002003276502848736
2024-04-10,0.9989260913052396,0.007350897104932631
2024-04-11,0.9929110581146717,-0.0060214997314850405
2024-04-12,1.016274970461912,0.02353072025565244
2024-04-15,1.0025420915307066,-0.013512955971909477
2024-04-16,1.0144887432758332,0.011916359269151638
2024-04-17,1.022696635608948,0.008090668711228058
2024-04-18,1.0256022943867589,0.0028411736937814782
2024-04-19,1.0210517292582897,-0.004436968553380691
2024-04-22,1.0130556509372355,-0.007831217647378977
2024-04-23,1.0101099727687006,-0.002907716042854707
2024-04-24,1.0154530435164941,0.005289593105539071
2024-04-25,1.011236777789055,-0.004152103097587023
2024-04-26,1.0133790742799695,0.00211849147298461
2024-04-29,1.0555202714341672,0.04158483061646008
2024-04-30,1.0902399080280694,0.032893386828779285
2024-05-06,1.0866815960343927,-0.003263788059375437
2024-05-07,1.0871790077553172,0.0004577345588070303
2024-05-08,1.0977017584494022,0.009678949482119956
2024-05-09,1.1012297836039107,0.0032140106612309526
2024-05-10,1.1276823167053187,0.02402090235412892
2024-05-13,1.114995735393716,-0.011250137670570396
2024-05-14,1.1039461684888352,-0.009909963378451096
2024-05-15,1.091198080414006,-0.0115477443001408
2024-05-16,1.0931969840270064,0.001831843043787122
2024-05-17,1.0912010755047714,-0.0018257537766730764
2024-05-20,1.0911191946089502,-7.50374038838714e-05
2024-05-21,1.091064304977539,-5.030580681051038e-05
2024-05-22,1.0805243433115725,-0.009660257069984047
2024-05-23,1.078009983201001,-0.002326981456859668
2024-05-24,1.086486144108822,0.007862785168883281
2024-05-27,1.0784173065404699,-0.0074265443808035295
2024-05-28,1.0859698623690814,0.007003370386218842
2024-05-29,1.0740117764015982,-0.011011434462275226
2024-05-30,1.0733022495444942,-0.0006606322879261821
2024-05-31,1.0706214805548129,-0.0024976831929858895
2024-06-03,1.0726194287141293,0.0018661573633670548
2024-06-04,1.0752444165654047,0.002447268603387507
2024-06-05,1.0725363172228113,-0.002518589541942136
2024-06-06,1.090201176335802,0.01647017339117381
2024-06-07,1.0812794737173033,-0.008183537875536611
2024-06-11,1.0906706327903248,0.008685228288608715
2024-06-12,1.0905871260624578,-7.656456986781728e-05
2024-06-13,1.0785112880885377,-0.011072786103316279
2024-06-14,1.065207082598201,-0.0123357127897251
2024-06-17,1.0691527785465516,0.003704158574242942
2024-06-18,1.0581478895262197,-0.010293093036986008
2024-06-19,1.0615972049261018,0.0032597668379098586
2024-06-20,1.063927751763394,0.0021953211881850358
2024-06-21,1.062787704528264,-0.0010715457259576364
2024-06-24,1.0469109104381011,-0.014938819881445827
2024-06-25,1.0482182623740008,0.001248770953540384
2024-06-26,1.0395967938325341,-0.0082248791601291
2024-06-27,1.0641123086639706,0.023581753018936006
2024-06-28,1.0641123086639706,0.0
