Date,portfolio_value,daily_return
2024-04-01,0.9937491564107916,-0.006250843589208328
2024-04-02,0.9938567701091786,0.0001082906060275426
2024-04-03,0.9843008860393809,-0.00961495092371104
2024-04-08,0.9818904361530891,-0.0024488953738433738
2024-04-09,0.9735620684236649,-0.008481972552919067
2024-04-10,0.9771067090867034,0.003640898488144498
2024-04-11,0.9700446937849844,-0.007227476012645369
2024-04-12,0.9960031122720745,0.026760023175637398
2024-04-15,0.9802304652928877,-0.015835941459265448
2024-04-16,0.9988675541369795,0.01901296634207669
2024-04-17,0.9997077610278403,0.0008411594584096383
2024-04-18,0.9982920076332309,-0.0014161672538720812
2024-04-19,0.9959853713528803,-0.002310582738029865
2024-04-22,0.9838844520963068,-0.012149695773278762
2024-04-23,0.9890378212817197,0.005237778861565402
2024-04-24,0.9865893570355916,-0.0024756022403218036
2024-04-25,1.0001782564519617,0.01377361241479506
2024-04-26,1.0078990053509456,0.007719372870964484
2024-04-29,1.0105089599640784,0.0025895001376889525
2024-04-30,1.0274712972885465,0.016785934609695297
2024-05-06,1.0304717720728063,0.002920251682142166
2024-05-07,1.0231467421210791,-0.007108423685389046
2024-05-08,1.0355321101916835,0.012105172758433817
2024-05-09,1.0375558712484438,0.001954319945120725
2024-05-10,1.0387904020693555,0.0011898451496652638
2024-05-13,1.0387924199540737,1.942533079012684e-06
2024-05-14,1.0281342248523,-0.010260177969189294
2024-05-15,1.0315751164064506,0.003346733793094855
2024-05-16,1.0378356461513298,0.006068903413149625
2024-05-17,1.0458562298972514,0.007728182950416785
2024-05-20,1.0403285289305573,-0.005285335411002914
2024-05-21,1.0366676683736689,-0.0035189466164614464
2024-05-22,1.0246760823174563,-0.01156743517913016
2024-05-23,1.0202269177837162,-0.004342020478976777
2024-05-24,1.03035150416668,0.009923857336520618
2024-05-27,1.0209455224911161,-0.009128905657464045
2024-05-28,1.021750581581336,0.0007885426523595329
2024-05-29,1.014996813251601,-0.0066099970496540815
2024-05-30,1.011789132418475,-0.003160286605088022
2024-05-31,1.0132673846538804,0.0014610279830461785
2024-06-03,1.0237208478407889,0.010316589031906178
2024-06-04,1.0188819840219072,-0.004726741502908525
2024-06-05,1.0181907220215671,-0.0006784514901434412
2024-06-06,1.0200982142891062,0.0018734135229124434
2024-06-07,1.0136046790428304,-0.006365598091749546
2024-06-11,1.016108948148643,0.002470656615533183
2024-06-12,1.0075617808481085,-0.00841166423748889
2024-06-13,1.0087962519798765,0.0012252063895564018
2024-06-14,1.0055576478609098,-0.0032103649400070646
2024-06-17,1.0083676836961786,0.0027945049607513536
2024-06-18,1.0003176026026799,-0.007983279535487537
2024-06-19,0.9889296822719928,-0.011384304645901828
2024-06-20,0.9879057870420036,-0.0010353569605038907
2024-06-21,0.9783364577382275,-0.009686479651494504
2024-06-24,0.9755312511672971,-0.0028673229426772113
2024-06-25,0.9839019157746229,0.008580621684143544
2024-06-26,0.9712370143613018,-0.01287211785063973
2024-06-27,0.9800529295305955,0.009076996694870644
2024-06-28,0.9800529295305955,0.0
