,portfolio_value,daily_return
2024-04-01,0.9942139765779043,-0.00578602342209567
2024-04-02,0.9898325123675091,-0.004406963001542419
2024-04-03,0.9701159234207309,-0.019919116315566865
2024-04-04,0.9661526898849643,-0.004085319537681542
2024-04-05,0.9644797671864497,-0.001731530343007992
2024-04-08,0.9809500894682537,0.017076897662509527
2024-04-09,0.9703349966312509,-0.010821236422698055
2024-04-10,0.9644797671864498,-0.006034235047822634
2024-04-11,0.9441856215937556,-0.021041546212934636
2024-04-12,0.9362392387758116,-0.008416123520850416
2024-04-15,0.9484276755792747,0.013018506700702037
2024-04-16,0.9449025884645474,-0.003716769560287436
2024-04-17,0.9423732886703647,-0.002676783644219638
2024-04-18,0.9261220395990806,-0.017245023035631357
2024-04-19,0.9298462841779165,0.004021332415810042
2024-04-22,0.9418156477708599,0.012872411060421252
2024-04-23,0.9502200927562544,0.008923662507929864
2024-04-24,0.9428910980770479,-0.0077129443326626745
2024-04-25,0.9510963855983336,0.008702264278472649
2024-04-26,0.9421542154598451,-0.009401959963146078
2024-04-29,0.9217604911350966,-0.021645845223751126
2024-04-30,0.9348252207806387,0.01417367067821873
2024-05-01,0.9491247267036558,0.015296448582202471
2024-05-02,0.9682637590045184,0.020164928551944072
2024-05-03,0.9830213270949858,0.015241268665926011
2024-05-06,0.9803924485687487,-0.002674284325047016
2024-05-07,0.9720875823154088,-0.008470961057955972
2024-05-08,0.9612335005214752,-0.011165744724441762
2024-05-09,0.9605165336506833,-0.0007458821091886891
2024-05-10,0.9621496248563761,0.001700221858218054
2024-05-13,0.9683986809157229,0.0064948900856034745
2024-05-14,0.9774956195747478,0.009393794971326051
2024-05-15,0.9811270041365312,0.003714988066507288
2024-05-16,0.9815933683456619,0.00047533520855556595
2024-05-17,0.9716288693067825,-0.01015135122160933
2024-05-20,0.9558693388384628,-0.016219701746370992
2024-05-21,0.9423462177802122,-0.014147457721243996
2024-05-22,0.9229829529110078,-0.020547930796407682
2024-05-23,0.9356304644428772,0.013702865791811514
2024-05-24,0.9405971375212077,0.005308370416613097
2024-05-28,0.9227207567179815,-0.019005353184825245
2024-05-29,0.9290845437417837,0.006896763703937385
2024-05-30,0.9443063113861225,0.01638361949606316
2024-05-31,0.9183030781078031,-0.027536862736996813
2024-06-03,0.9242158500423235,0.00643880225982033
2024-06-04,0.9457663209265927,0.023317573360468094
2024-06-05,0.9223742845717783,-0.024733420758625273
2024-06-06,0.9220423270930974,-0.0003598945506541277
2024-06-07,0.9325142664743603,0.011357330432191132
2024-06-10,0.9416777278333013,0.009826617874261714
2024-06-11,0.9425728335426944,0.0009505435702006075
2024-06-12,0.9328119647287567,-0.010355559238060192
2024-06-13,0.932138781865541,-0.0007216704852315855
2024-06-14,0.9424438550581363,0.011055299267745435
2024-06-17,0.9361546626250595,-0.006673280746988243
2024-06-18,0.9404071375150891,0.004542491812309291
2024-06-20,0.9469323586732977,0.0069387193034824825
2024-06-21,0.944397304185765,-0.002677123095766296
2024-06-24,0.9425226935408011,-0.0019849809361538098
2024-06-25,0.9439332264655635,0.0014965506235860714
2024-06-26,0.9499749070577167,0.006400538113035285
2024-06-27,0.9524790373348355,0.0026359962337054294
2024-06-28,0.9524790373348355,0.0
