step,held_p,duration,is_locked,threshold
0,0.5669044852256775,0,True,0.55
1,0.6012420654296875,1,True,0.55
2,0.5813179612159729,2,False,0.55
3,0.553895115852356,3,False,0.55
4,0.546230673789978,4,False,0.55
5,0.5458085536956787,5,False,0.55
6,0.6563623547554016,1,True,0.55
7,0.641786515712738,2,False,0.55
8,0.6391903758049011,3,False,0.55
9,0.6183232665061951,4,False,0.55
10,0.5863399505615234,5,False,0.55
11,0.5617515444755554,6,False,0.55
12,0.5191115140914917,7,False,0.55
13,0.4713824987411499,8,False,0.55
14,0.4196164011955261,1,True,0.55
15,0.4117305278778076,2,False,0.55
16,0.4978281557559967,1,True,0.55
17,0.5022135376930237,2,False,0.55
18,0.4395599067211151,1,True,0.55
19,0.4463199973106384,2,False,0.55
20,0.48726144433021545,1,True,0.55
21,0.4982353150844574,2,False,0.55
22,0.48485350608825684,1,True,0.55
23,0.4848855435848236,2,False,0.55
24,0.5443398356437683,1,True,0.55
25,0.5516033172607422,2,False,0.55
26,0.5672637224197388,3,False,0.55
27,0.5752540826797485,4,False,0.55
28,0.5900782346725464,5,False,0.55
29,0.5994624495506287,6,False,0.55
30,0.6086481809616089,7,False,0.55
31,0.6160895228385925,8,False,0.55
32,0.6252682209014893,9,False,0.55
33,0.6385319232940674,10,False,0.55
34,0.5856630802154541,1,True,0.55
35,0.5891039967536926,2,False,0.55
36,0.5872119665145874,3,False,0.55
37,0.5885857343673706,4,False,0.55
38,0.5727195739746094,5,False,0.55
39,0.5665153861045837,6,False,0.55
40,0.5624791383743286,7,False,0.55
41,0.542667806148529,8,False,0.55
42,0.5343306064605713,9,False,0.55
43,0.5043681859970093,1,True,0.55
44,0.4925696551799774,2,False,0.55
45,0.4402868151664734,1,True,0.55
46,0.450196236371994,2,False,0.55
47,0.6137334704399109,1,True,0.55
48,0.6118813753128052,2,False,0.55
49,0.6116816401481628,3,False,0.55
50,0.6069911122322083,4,False,0.55
51,0.6107569932937622,5,False,0.55
52,0.6120063066482544,6,False,0.55
53,0.6129639744758606,7,False,0.55
54,0.6180946826934814,8,False,0.55
55,0.6168881058692932,9,False,0.55
56,0.6179824471473694,10,False,0.55
57,0.6822278499603271,1,True,0.55
58,0.673139214515686,2,False,0.55
59,0.672454833984375,3,False,0.55
60,0.6670775413513184,4,False,0.55
