step,held_p,duration,is_locked,threshold
0,0.5669044852256775,0,True,0.4
1,0.6012420654296875,1,True,0.4
2,0.5813179612159729,2,False,0.4
3,0.553895115852356,3,False,0.4
4,0.546230673789978,4,False,0.4
5,0.5458085536956787,5,False,0.4
6,0.5495011806488037,6,False,0.4
7,0.5311146974563599,7,False,0.4
8,0.5220633745193481,8,False,0.4
9,0.5034166574478149,9,False,0.4
10,0.47686827182769775,10,False,0.4
11,0.517808198928833,1,True,0.4
12,0.4785080552101135,2,False,0.4
13,0.43198162317276,3,False,0.4
14,0.3913167715072632,4,False,0.4
15,0.3675878942012787,5,False,0.4
16,0.49776607751846313,1,True,0.4
17,0.502177357673645,2,False,0.4
18,0.5063971281051636,3,False,0.4
19,0.504035472869873,4,False,0.4
20,0.506818950176239,5,False,0.4
21,0.5001372694969177,6,False,0.4
22,0.5034892559051514,7,False,0.4
23,0.5084546208381653,8,False,0.4
24,0.520392894744873,9,False,0.4
25,0.5327132940292358,10,False,0.4
26,0.5823829174041748,1,True,0.4
27,0.5993422269821167,2,False,0.4
28,0.6206037998199463,3,False,0.4
29,0.6331130266189575,4,False,0.4
30,0.6411609053611755,5,False,0.4
31,0.6451843976974487,6,False,0.4
32,0.6514802575111389,7,False,0.4
33,0.6538282036781311,8,False,0.4
34,0.6510925889015198,9,False,0.4
35,0.6509997248649597,10,False,0.4
36,0.6158493757247925,1,True,0.4
37,0.607632040977478,2,False,0.4
38,0.5867223739624023,3,False,0.4
39,0.5675429105758667,4,False,0.4
40,0.5434874892234802,5,False,0.4
41,0.5119709968566895,6,False,0.4
42,0.4962477684020996,7,False,0.4
43,0.4951723515987396,8,False,0.4
44,0.4909243583679199,9,False,0.4
45,0.5019146203994751,10,False,0.4
46,0.628584623336792,1,True,0.4
47,0.6427578330039978,2,False,0.4
48,0.6475015878677368,3,False,0.4
49,0.6497481465339661,4,False,0.4
50,0.6526982188224792,5,False,0.4
51,0.6592991352081299,6,False,0.4
52,0.6599401235580444,7,False,0.4
53,0.6577785015106201,8,False,0.4
54,0.664438009262085,9,False,0.4
55,0.6676176190376282,10,False,0.4
56,0.5325697064399719,1,True,0.4
57,0.5465253591537476,2,False,0.4
58,0.5584185719490051,3,False,0.4
59,0.5613030791282654,4,False,0.4
60,0.5606929659843445,5,False,0.4
