step,held_p,duration,is_locked,threshold
0,0.5669044852256775,0,True,0.7
1,0.6012420654296875,1,True,0.7
2,0.5813179612159729,2,False,0.7
3,0.5982413291931152,1,True,0.7
4,0.5890807509422302,2,False,0.7
5,0.6303971409797668,1,True,0.7
6,0.6328803896903992,2,False,0.7
7,0.5931947231292725,1,True,0.7
8,0.5827430486679077,2,False,0.7
9,0.590463399887085,1,True,0.7
10,0.5659789443016052,2,False,0.7
11,0.5463026762008667,1,True,0.7
12,0.5084373950958252,2,False,0.7
13,0.4858723282814026,1,True,0.7
14,0.44590330123901367,2,False,0.7
15,0.37612050771713257,1,True,0.7
16,0.38618579506874084,2,False,0.7
17,0.48448318243026733,1,True,0.7
18,0.4888671040534973,2,False,0.7
19,0.3738633394241333,1,True,0.7
20,0.39087918400764465,2,False,0.7
21,0.5063715577125549,1,True,0.7
22,0.5034959316253662,2,False,0.7
23,0.5318845510482788,1,True,0.7
24,0.5452483892440796,2,False,0.7
25,0.5524681210517883,1,True,0.7
26,0.5739895105361938,2,False,0.7
27,0.496465265750885,1,True,0.7
28,0.5102411508560181,2,False,0.7
29,0.45808905363082886,1,True,0.7
30,0.46618643403053284,2,False,0.7
31,0.6049877405166626,1,True,0.7
32,0.630025327205658,2,False,0.7
33,0.49443766474723816,1,True,0.7
34,0.5017135739326477,2,False,0.7
35,0.5698956847190857,1,True,0.7
36,0.5755704641342163,2,False,0.7
37,0.5546402335166931,1,True,0.7
38,0.5395509600639343,2,False,0.7
39,0.5588951110839844,1,True,0.7
40,0.5570588111877441,2,False,0.7
41,0.48743316531181335,1,True,0.7
42,0.4676753282546997,2,False,0.7
43,0.5042863488197327,1,True,0.7
44,0.4925469756126404,2,False,0.7
45,0.440286785364151,1,True,0.7
46,0.450196236371994,2,False,0.7
47,0.6137334704399109,1,True,0.7
48,0.6118813753128052,2,False,0.7
49,0.6894944310188293,1,True,0.7
50,0.6979193687438965,2,False,0.7
51,0.6671657562255859,1,True,0.7
52,0.6824946403503418,2,False,0.7
53,0.6298528909683228,1,True,0.7
54,0.6452862024307251,2,False,0.7
55,0.5678023099899292,1,True,0.7
56,0.5885102152824402,2,False,0.7
57,0.6820328235626221,1,True,0.7
58,0.6730983257293701,2,False,0.7
59,0.5941214561462402,1,True,0.7
60,0.5963224172592163,2,False,0.7
