__date__,portfolio_value,daily_return
2024-04-01,0.9937491564107916,-0.006250843589208327
2024-04-02,0.9937640033896811,1.4940368797915275e-05
2024-04-03,0.9840991443205843,-0.009725507299651028
2024-04-08,0.981855580160114,-0.0022798151725041318
2024-04-09,0.9732096610514073,-0.0088056933050141
2024-04-10,0.9766244740969369,0.003508815399387224
2024-04-11,0.969478942908568,-0.0073165596172226005
2024-04-12,0.9956718485845956,0.027017508598428604
2024-04-15,0.9800284531384935,-0.015711396750184303
2024-04-16,0.9985629997809289,0.018912253601494303
2024-04-17,0.9995393651297458,0.0009777704051031704
2024-04-18,0.9977635314422881,-0.0017766520753559317
2024-04-19,0.995987552578269,-0.001779959687895122
2024-04-22,0.9841301903493126,-0.011905130940905654
2024-04-23,0.989452006348055,0.005407634122933968
2024-04-24,0.9869917571370374,-0.002486476549881387
2024-04-25,1.001270275370378,0.01446670464073416
2024-04-26,1.009547300507625,0.008266524374934862
2024-04-29,1.011653196804252,0.0020859808109713633
2024-04-30,1.0284438798392737,0.016597271760779693
2024-05-06,1.0314399925274593,0.0029132485952018906
2024-05-07,1.0241413283961258,-0.007076188808084481
2024-05-08,1.0365485981960756,0.012114802377305074
2024-05-09,1.0384351898493633,0.0018200706233851439
2024-05-10,1.0391946636917297,0.0007313637382383024
2024-05-13,1.0395117239585996,0.00030510190048847405
2024-05-14,1.0287498123171634,-0.010352852587802774
2024-05-15,1.0325949718697645,0.003737701340562231
2024-05-16,1.0394520364839686,0.006640613988065225
2024-05-17,1.0478928431923518,0.008120438858280473
2024-05-20,1.042420033304853,-0.005222680852391504
2024-05-21,1.039027369333232,-0.0032546035793891786
2024-05-22,1.0267106726687143,-0.011854063740805562
2024-05-23,1.02217178920865,-0.004420800894439436
2024-05-24,1.032036370393022,0.009650609896022512
2024-05-27,1.0225104792336368,-0.009230189393187302
2024-05-28,1.023263421425665,0.0007363662351828911
2024-05-29,1.0164717187315448,-0.00663729646922945
2024-05-30,1.0136103690466283,-0.0028149820916681394
2024-05-31,1.0148176570984584,0.0011910770535681057
2024-06-03,1.0253872239800628,0.010415237464259814
2024-06-04,1.0201708635094089,-0.005087210322756403
2024-06-05,1.0188634983140339,-0.0012815159128124892
2024-06-06,1.02058400983862,0.0016886575360029715
2024-06-07,1.0140089916026953,-0.006442407653402663
2024-06-11,1.0165690193005754,0.002524659760495746
2024-06-12,1.0078566703921534,-0.00857034666904979
2024-06-13,1.0097367981822007,0.001865471396161694
2024-06-14,1.0067974206076593,-0.0029110334295364064
2024-06-17,1.0094436026547675,0.00262831627589119
2024-06-18,1.0015312371346567,-0.00783834332032191
2024-06-19,0.9895494208974037,-0.011963497285948413
2024-06-20,0.9882497650476745,-0.0013133814464270067
2024-06-21,0.9783898093922697,-0.009977189981855605
2024-06-24,0.9754942050562389,-0.0029595610136509847
2024-06-25,0.98432229020574,0.009049859141902645
2024-06-26,0.9713345407890948,-0.01319461069395337
2024-06-27,0.979115485981703,0.008010571915096524
