__date__,portfolio_value,daily_return
2024-04-01,0.9884156137497104,-0.011584386250289593
2024-04-02,0.9866098887394397,-0.0018268883910286494
2024-04-03,0.9718616169886435,-0.014948432930912097
2024-04-04,0.9818277851010819,0.010254719332695788
2024-04-05,0.9823231067988405,0.000504489387319261
2024-04-08,0.9890241339575033,0.006821612066624158
2024-04-09,0.9716065431807036,-0.017610885496903504
2024-04-10,0.9796719212028278,0.008301074214383985
2024-04-11,0.9645292619182011,-0.01545686770938037
2024-04-12,0.9547833906324311,-0.010104277465245514
2024-04-15,0.9533790683088209,-0.001470828187197558
2024-04-16,0.9393099886608112,-0.014757067902661902
2024-04-17,0.9319920237738212,-0.007790787892528755
2024-04-18,0.9288879638926194,-0.0033305648568029943
2024-04-19,0.9363248289053374,0.008006202364333503
2024-04-22,0.9456258085991232,0.009933496802236538
2024-04-23,0.9492134776802043,0.003793962737116874
2024-04-24,0.9486799164598673,-0.0005621087699269893
2024-04-25,0.9540401046911311,0.005650154639371104
2024-04-26,0.9581401010875126,0.004297509482275678
2024-04-29,0.9422001157777902,-0.016636382603786394
2024-04-30,0.9368243253300399,-0.0057055718394945975
2024-05-01,0.942317444527917,0.005863553122344308
2024-05-02,0.9590863005015027,0.017795336455844274
2024-05-03,0.9642395595203858,0.0053730920942029695
2024-05-06,0.9667519299356333,0.002605545883739858
2024-05-07,0.9652268194707131,-0.0015775613347074103
2024-05-08,0.9712507827818029,0.006240982108633321
2024-05-09,0.974967686696367,0.003826925013041815
2024-05-10,0.9736697330639932,-0.0013312786157784655
2024-05-13,0.9769294569821165,0.0033478743432493268
2024-05-14,0.9912995835723687,0.01470948233523809
2024-05-15,0.9891117834141864,-0.0022070019945918573
2024-05-16,0.987098141765603,-0.00203580796665153
2024-05-17,0.9919407432129795,0.004905896630212148
2024-05-20,0.9894434567359005,-0.002517576270725723
2024-05-21,0.9930660646208,0.0036612581145872144
2024-05-22,0.9805548397163572,-0.012598582662494098
2024-05-23,0.9823484732950767,0.0018292027187774315
2024-05-24,0.9771327158040387,-0.005309477881655263
2024-05-28,0.9643291947297815,-0.013103154635163148
2024-05-29,0.9628185772303324,-0.0015664956611340377
2024-05-30,0.9705858682304007,0.008067242556133527
2024-05-31,0.9670298491454384,-0.003663786174267845
2024-06-03,0.9706293214804812,0.0037221936202109615
2024-06-04,0.983105274111299,0.012853467698450069
2024-06-05,0.9810620817269261,-0.0020783047738401287
2024-06-06,0.9791406742686718,-0.0019584973204469108
2024-06-07,0.9820627321791666,0.00298430857514654
2024-06-10,0.9823002658939956,0.0002418722420122769
2024-06-11,0.9918417272282558,0.009713385678030442
2024-06-12,0.9863362733516102,-0.00555073831389484
2024-06-13,0.9882220642079704,0.0019119147366975296
2024-06-14,0.9991685310288144,0.011076930193435135
2024-06-17,1.0004956143612072,0.0013281876792359108
2024-06-18,1.001431473850634,0.0009353958937885794
2024-06-20,1.005216936158722,0.003780051263550247
2024-06-21,1.0022483235903397,-0.0029532058818333147
2024-06-24,1.0047071415791173,0.0024533021716307735
2024-06-25,1.0013117777724876,-0.0033794562277053865
2024-06-26,1.0047313521983583,0.0034150945807087272
2024-06-27,1.0057044162578792,0.0009684818308813222
