Date,adjopen,adjhigh,adjlow,adjclose,amount,amp,body,label_ensemble_soft,label_micro_raw
1999-04-22,5.2199999999990885,5.879999999998974,5.119999999999107,5.73,2622403.26,0.1455938697319644,0.6710526315793814,0.30334416,0.25674656
1999-04-23,5.589999999999029,5.92999999999897,5.449999999999054,5.76,1379318.4,0.0858676207515051,0.3541666666680131,0.30303872,0.25674656
1999-04-26,5.769999999998917,5.779999999998916,5.299999999999005,5.33,564367.05,0.0831889081457396,-0.9166666666626708,0.30224076,0.25674656
1999-04-27,5.28999999999907,5.839999999998973,5.209999999999084,5.69,862695.04,0.1190926275994103,0.6349206349212158,0.30057132,0.25674656
1999-04-28,5.659999999998971,5.749999999998955,5.409999999999016,5.5,358286.5,0.060070671378258,-0.4705882352897914,0.29748774,0.76284164
1999-04-29,5.449999999999027,5.719999999998978,5.399999999999036,5.6,268682.4,0.0587155963304478,0.4687500000016597,0.29241574,0.76284164
1999-04-30,5.609999999999038,5.969999999998976,5.609999999999038,5.83,631371.51,0.064171122994819,0.6111111111121914,0.28496552,0.76284164
1999-05-04,5.91999999999899,5.969999999998981,5.749999999999019,5.86,383396.36,0.0371621621623248,-0.2727272727214875,0.27522776,0.76284164
1999-05-05,5.859999999998988,5.869999999998986,5.649999999999024,5.79,260972.67,0.0375426621162051,-0.3181818181758264,0.2640112,0.12350398
1999-05-06,5.7999999999989855,5.869999999998973,5.679999999999007,5.72,213762.12,0.0327586206898219,-0.4210526315714671,0.25290895,0.12350398
1999-05-07,5.719999999998965,5.74999999999896,5.509999999999003,5.53,248971.66,0.0419580419582094,-0.7916666666591975,0.24419476,0.12350398
1999-05-10,5.389999999998977,5.489999999998958,5.189999999999015,5.27,237450.39,0.0556586270873736,-0.3999999999953354,0.24060297,0.12350398
1999-05-11,5.279999999999028,5.439999999998999,5.279999999999028,5.43,96675.72,0.030303030303214,0.9375000000003868,0.24508752,0.12350398
1999-05-12,5.419999999998981,5.419999999998981,5.279999999999008,5.32,78225.28,0.0258302583027626,-0.7142857142734705,0.26046818,0.12350398
1999-05-13,5.2999999999990015,5.3799999999989865,5.229999999999015,5.31,62052.66,0.028301886792636,0.066666666672889,0.28885213,0.12350398
1999-05-14,5.25999999999895,5.299999999998942,4.999999999999002,5.01,123937.38,0.0570342205324986,-0.833333333327222,0.3308648,0.12350398
1999-05-17,5.0099999999990095,5.1199999999989885,4.90999999999903,5.06,68810.93999999999,0.0419161676648618,0.2380952380988666,0.38502932,0.12350398
1999-05-18,5.069999999998986,5.179999999998963,4.999999999999,5.0,59835.0,0.0355029585800717,-0.3888888888811742,0.4477659,0.8870024
1999-05-19,4.989999999999071,5.399999999998995,4.989999999999071,5.37,158742.57,0.0821643286574985,0.9268292682928604,0.51420164,0.8870024
1999-05-20,5.399999999999023,5.569999999998993,5.30999999999904,5.53,257858.37,0.0481481481483245,0.5000000000019235,0.57944244,0.8870024
1999-05-21,5.549999999998979,5.649999999998961,5.3799999999990105,5.44,255484.16000000003,0.0486486486488201,-0.407407407402191,0.63963497,0.8870024
1999-05-24,5.4599999999990425,5.779999999998986,5.389999999999054,5.7,374170.8,0.0714285714287416,0.6153846153856001,0.69235647,0.8870024
1999-05-25,5.74999999999895,5.779999999998945,5.479999999999,5.48,341239.60000000003,0.052173913043643,-0.899999999993665,0.73640555,0.94128007
1999-05-26,5.449999999999034,5.6799999999989925,5.429999999999037,5.64,171405.24,0.0458715596332025,0.7600000000009585,0.77142245,0.94128007
1999-05-27,5.709999999999079,6.199999999999,5.709999999999079,6.2,434855.6,0.085814360770738,1.0000000000000002,0.7976888,0.94128007
1999-05-28,6.499999999998931,6.599999999998913,5.909999999999028,6.08,694415.04,0.1061538461539835,-0.6086956521715817,0.8160853,0.94128007
1999-05-31,6.149999999998986,6.469999999998932,5.899999999999027,6.06,494399.04,0.0926829268294156,-0.1578947368400763,0.8280127,0.94128007
1999-06-01,6.09999999999904,6.359999999999,6.009999999999055,6.36,409634.88,0.0573770491804824,0.7428571428578788,0.8351475,0.13794453
1999-06-02,6.399999999998951,6.489999999998936,6.079999999999003,6.1,417447.4,0.0640625000001463,-0.7317073170689459,0.83910614,0.13794453
1999-06-03,6.019999999998965,6.079999999998956,5.779999999999007,5.82,247262.7,0.0498338870433471,-0.6666666666611079,0.8411805,0.13794453
1999-06-04,5.819999999999013,5.999999999998981,5.809999999999014,5.89,167870.88999999998,0.0326460481101318,0.3684210526348978,0.8422387,0.8314947
1999-06-07,5.879999999999041,6.199999999998989,5.859999999999045,6.13,227944.05,0.0578231292518609,0.7352941176478369,0.842788,0.8314947
1999-06-08,6.179999999999018,6.499999999998968,6.159999999999022,6.3,414615.6,0.0550161812299263,0.3529411764724934,0.8430856,0.8314947
1999-06-09,6.319999999998992,6.419999999998976,6.149999999999019,6.27,182406.84,0.0427215189874932,-0.1851851851807978,0.84325045,0.8314947
1999-06-10,6.449999999999015,6.869999999998951,6.269999999999042,6.55,560758.6,0.0930232558140942,0.1666666666680552,0.84334016,0.8314947
1999-06-11,6.549999999998983,6.549999999998983,6.349999999999014,6.44,238415.24,0.0305343511451862,-0.5499999999922474,0.8433841,0.8314947
1999-06-14,6.579999999999029,6.799999999998996,6.43999999999905,6.78,389619.48,0.0547112462007514,0.5555555555567926,0.8434054,0.8314947
1999-06-15,6.949999999998925,7.129999999998897,6.309999999999023,6.46,532588.24,0.1179856115109184,-0.5975609756078076,0.8434133,0.80958444
1999-06-16,6.499999999999057,6.899999999998999,6.499999999999057,6.89,367829.54,0.061538461538606,0.9750000000000596,0.8434117,0.80958444
1999-06-17,7.019999999999057,7.449999999999,6.919999999999071,7.45,704397.5,0.0754985754987072,0.8113207547173379,0.84339637,0.80958444
1999-06-18,7.449999999998973,7.499999999998967,7.17999999999901,7.26,426379.8,0.0429530201343567,-0.5937499999950174,0.8433453,0.80958444
1999-06-21,7.299999999999032,7.699999999998979,7.299999999999032,7.54,379337.4,0.0547945205480746,0.6000000000010003,0.8432094,0.80958444
1999-06-22,7.529999999998997,7.529999999998997,7.299999999999028,7.51,337739.72,0.0305444887119481,-0.0869565217344061,0.8428844,0.80958444
1999-06-23,7.509999999999015,7.7999999999989775,7.3999999999990305,7.63,376265.82,0.0532623169109116,0.3000000000017525,0.84218085,0.80958444
1999-06-24,7.629999999999021,7.899999999998987,7.519999999999035,7.8,610092.6,0.0498034076016973,0.4473684210540864,0.840796,0.80958444
1999-06-25,7.819999999998904,7.899999999998894,7.099999999999005,7.14,508046.7,0.1023017902814448,-0.8499999999976864,0.83830893,0.80958444
1999-06-28,7.159999999999044,7.499999999998998,7.149999999999046,7.49,409470.81,0.0488826815643785,0.94285714285731,0.8342199,0.80958444
