,portfolio_value,daily_return
2024-04-01,0.9919281215581125,-0.008071878441887533
2024-04-02,0.9925221676623261,0.0005988801923273106
2024-04-03,0.9742130661699955,-0.01844704540499466
2024-04-04,0.9862774561090736,0.0123837283218832
2024-04-05,0.9847668162159114,-0.001531658139203169
2024-04-08,0.9926170893998518,0.007971707671980745
2024-04-09,0.9781552128161111,-0.014569441467590104
2024-04-10,0.9957568516708184,0.017994729899800044
2024-04-11,0.9803020856555317,-0.015520622317942894
2024-04-12,0.9648942634303616,-0.015717422670652466
2024-04-15,0.9617360631957216,-0.003273104996408704
2024-04-16,0.9553272184215482,-0.00666382911011745
2024-04-17,0.9471700795696207,-0.008538581016675331
2024-04-18,0.9319663230415531,-0.01605177027443259
2024-04-19,0.9482082009954796,0.017427537403840516
2024-04-22,0.9566855200452172,0.008940356180043163
2024-04-23,0.9614703399168988,0.005001455307335903
2024-04-24,1.008041628128997,0.04843757137232494
2024-04-25,1.0089363516216094,0.000887585857216128
2024-04-26,1.0136887447334337,0.004710300212878746
2024-04-29,1.0190516370913503,0.005290472431285473
2024-04-30,1.0261694200072464,0.006984712704267052
2024-05-01,1.0179772547644383,-0.007983248265915222
2024-05-02,1.025363633262079,0.007255936675471202
2024-05-03,1.0174400636010024,-0.007727570399457904
2024-05-06,1.0276480315822538,0.010032991963303019
2024-05-07,1.0334966428580232,0.005691259162696256
2024-05-08,1.046995038348025,0.013060899213638065
2024-05-09,1.0455902043752388,-0.0013417771062248932
2024-05-10,1.0424212666715014,-0.0030307645294276294
2024-05-13,1.041200316164867,-0.001171264003978756
2024-05-14,1.0514586440578602,0.009852405664625905
2024-05-15,1.0535007229727773,0.0019421390717148574
2024-05-16,1.054488681655361,0.0009377864305549498
2024-05-17,1.055027939656248,0.0005113928772004137
2024-05-20,1.062948595823758,0.007507532141841125
2024-05-21,1.0622941866140005,-0.0006156546161577429
2024-05-22,1.0471024263512407,-0.014300897486018026
2024-05-23,1.0505096357175132,0.0032539408567175093
2024-05-24,1.0408055955009277,-0.009237459502175388
2024-05-28,1.0311220313088536,-0.009303912501943588
2024-05-29,1.0375935106723349,0.006276152741365177
2024-05-30,1.0446604321488324,0.006810876710204643
2024-05-31,1.0509796847166588,0.006049097269653309
2024-06-03,1.0619878694603635,0.010474212683447458
2024-06-04,1.0723698498007586,0.009775987691526749
2024-06-05,1.0738471614341532,0.0013776139208585684
2024-06-06,1.0777891788453409,0.0036709296748738958
2024-06-07,1.0708496819758155,-0.006438640325708021
2024-06-10,1.100652611938341,0.02783110502263628
2024-06-11,1.1022552010679931,0.0014560353668990802
2024-06-12,1.0994627796917331,-0.0025333710138581325
2024-06-13,1.10858711180208,0.00829890040743837
2024-06-14,1.1247998359803124,0.014624673158862149
2024-06-17,1.1308835043265757,0.005408667526130288
2024-06-18,1.11717376064587,-0.012123037986012272
2024-06-20,1.1036404456038227,-0.012113885519673705
2024-06-21,1.103313670077542,-0.0002960887557014696
2024-06-24,1.1114708674084264,0.007393361971406661
2024-06-25,1.1143091508443173,0.00255362827683352
2024-06-26,1.1125141285115878,-0.0016108835966835303
2024-06-27,1.110081935263894,-0.002186213357081493
2024-06-28,1.110081935263894,0.0
