,portfolio_value,daily_return
2024-04-01,0.9746418293880224,-0.025358170611977655
2024-04-02,0.9859317487323601,0.011583659764969001
2024-04-03,0.9044479830297466,-0.08264645682358784
2024-04-04,0.9294821520106701,0.027678948320569274
2024-04-05,0.9266460370062953,-0.0030512850604389463
2024-04-08,0.931445616244468,0.005179517363154806
2024-04-09,0.9115928112138446,-0.021313971191005976
2024-04-10,0.9299184773959586,0.020102907742012732
2024-04-11,0.8905401113736781,-0.042346041055718486
2024-04-12,0.8743960721180063,-0.018128368446839738
2024-04-15,0.8915218434905771,0.01958582834331346
2024-04-16,0.8400354480265428,-0.057751131775357845
2024-04-17,0.8458167593816145,0.006882223087910644
2024-04-18,0.7997844312336855,-0.05442352334279088
2024-04-19,0.8106925658658961,0.013638843426077463
2024-04-22,0.8304908302233586,0.02442142088266963
2024-04-23,0.8276001745458228,-0.0034806593550928966
2024-04-24,0.8386173905243554,0.013312244628970404
2024-04-25,0.8584701955549788,0.023673257023933525
2024-04-26,0.8737415840400738,0.017789072426937835
2024-04-29,0.8638151815247621,-0.011360799001248534
2024-04-30,0.786858291694516,-0.08908953150650323
2024-05-01,0.797166478921955,0.013100436681222627
2024-05-02,0.8213825378054627,0.0303776683087027
2024-05-03,0.8496346065028881,0.03439575033200515
2024-05-06,0.842271615626146,-0.008666067531133526
2024-05-07,0.8378538211001008,-0.005245094864987365
2024-05-08,0.8311453183012912,-0.00800676995182914
2024-05-09,0.8285819066627217,-0.0030841918761074227
2024-05-10,0.8211643751128185,-0.008952080042127442
2024-05-13,0.8228570641600835,0.0020613279126149007
2024-05-14,0.8377136142748559,0.01805483693566756
2024-05-15,0.8307157860349931,-0.008353485153658767
2024-05-16,0.826534808541256,-0.005032981874213251
2024-05-17,0.8197894318134501,-0.008161031644524225
2024-05-20,0.813151575700154,-0.008097025718680716
2024-05-21,0.8036101201493435,-0.011733920016812149
2024-05-22,0.798742887919641,-0.006056708480473138
2024-05-23,0.8066412180548452,0.009888451283460864
2024-05-24,0.8076402407771537,0.0012384969921542615
2024-05-28,0.7966963017489428,-0.013550512314344386
2024-05-29,0.8019353491751736,0.006575965540105857
2024-05-30,0.80507973767383,0.00392099999319208
2024-05-31,0.785982150728172,-0.023721360819287253
2024-06-03,0.7923889265821602,0.008151299425887206
2024-06-04,0.8166491154363837,0.03061651676389012
2024-06-05,0.7947533214883393,-0.026811752482391628
2024-06-06,0.7904796289918291,-0.005377382366275351
2024-06-07,0.8085938544327482,0.022915486720412853
2024-06-10,0.8171842799856441,0.010623906558036212
2024-06-11,0.828981709919755,0.014436682426536746
2024-06-12,0.8228740097730319,-0.007367713996143847
2024-06-13,0.8217150343081451,-0.0014084482571111883
2024-06-14,0.8340152364934732,0.014968938953008857
2024-06-17,0.8365838495301061,0.003079815480868665
2024-06-18,0.8345033172949208,-0.0024869380831986365
2024-06-20,0.8327454560035376,-0.0021064760977600526
2024-06-21,0.8306415813223441,-0.0025264318958763644
2024-06-24,0.8332076174214602,0.003089221821800813
2024-06-25,0.8378711672713481,0.005597104193934671
2024-06-26,0.844808093770536,0.008279228084406998
2024-06-27,0.8452265269344362,0.0004952996627111917
2024-06-28,0.8452265269344362,0.0
