,portfolio_value,daily_return
2024-04-01,1.0048152744975947,0.004815274497594774
2024-04-02,0.9973306315100632,-0.007448775090798443
2024-04-03,1.0006986195659302,0.0033770025199844067
2024-04-08,0.9935883100162973,-0.007105345616162717
2024-04-09,0.9992017199080016,0.005649633590810055
2024-04-10,1.0059379854155128,0.006741647230282588
2024-04-11,1.0055636519776143,-0.00037212377236550687
2024-04-12,1.0078090738134513,0.002232998210924819
2024-04-15,1.010803017827197,0.00297074524484775
2024-04-16,1.0100544956492883,-0.0007405223022758367
2024-04-17,1.0328827580497812,0.022601020537825978
2024-04-18,1.0321342358718726,-0.0007246922964634361
2024-04-19,1.0302630027760453,-0.00181297454419449
2024-04-22,1.0175391386368198,-0.012350112645937106
2024-04-23,1.0265206812822798,0.00882672941454854
2024-04-24,1.0253979703643612,-0.0010937051131947317
2024-04-25,1.0369193950490305,0.011236051774683453
2024-04-26,1.0330789683867703,-0.0037036887154364706
2024-04-29,1.0346150811725188,0.001486926781741893
2024-04-30,1.018485173432715,-0.015590249971539127
2024-05-06,1.011572376501069,-0.006787331923887585
2024-05-07,1.0227097729893009,0.0110099847988685
2024-05-08,1.0177171170398405,-0.004881791571099692
2024-05-09,1.025397970364361,0.007547139765970767
2024-05-10,1.0177171170398405,-0.007490607107200731
2024-05-13,1.0085000062316827,-0.009056653026498052
2024-05-14,0.9912180139025675,-0.017136333388524605
2024-05-15,0.9773924200392753,-0.013948085758509254
2024-05-16,0.9862255026509958,0.009037396270543674
2024-05-17,0.9981308108342137,0.012071588243475873
2024-05-20,1.0098389901556017,0.011730105106767075
2024-05-21,1.018867821961674,0.008940862745536293
2024-05-22,1.0140062156244394,-0.004771577070590394
2024-05-23,1.0026286181998754,-0.011220441501492595
2024-05-24,1.0076063464561988,0.004964678013340995
2024-05-27,0.9684967661846375,-0.03881434491665481
2024-05-28,0.9564083333687285,-0.012481644996638397
2024-05-29,0.9613860616250519,0.005204605692623376
2024-05-30,0.9805851990005464,0.01997026807632496
2024-05-31,0.9613860616250519,-0.01957926490738704
2024-06-03,0.9756074707442232,0.01479261005212873
2024-06-04,0.9628082025369691,-0.013119280644181996
2024-06-05,0.9379200313845789,-0.025849562858740294
2024-06-06,0.9464533469853088,0.009098127041953452
2024-06-07,0.9457420414647368,-0.0007515484232135661
2024-06-11,0.9514306051124051,0.006014920980839555
2024-06-12,0.9507197697210601,-0.0007471226882185267
2024-06-13,0.9628082025369692,0.012715032547872429
2024-06-14,0.9940957727283728,0.03249616082306095
2024-06-17,1.0147170510157844,0.020743754126239633
2024-06-18,1.0033399237204474,-0.01121211798298627
2024-06-19,0.9869850681687871,-0.01630041341424504
2024-06-20,0.9948070782489449,0.007925155437934261
2024-06-21,0.9556974979773836,-0.03931373341291644
2024-06-24,0.9464533469853088,-0.009672674681726057
2024-06-25,0.9649411788402313,0.01953380154849782
2024-06-26,0.9428977596409024,-0.022844313915406755
2024-06-27,0.9549861924568114,0.012820512820512775
2024-06-28,0.9549861924568114,0.0
