step,held_p,duration,is_locked,threshold
0,0.5573755502700806,0,True,0.45
1,0.35150766372680664,1,True,0.45
2,0.34660279750823975,2,False,0.45
3,0.4060741662979126,1,True,0.45
4,0.40606170892715454,2,False,0.45
5,0.3544467091560364,1,True,0.45
6,0.33814698457717896,2,False,0.45
7,0.3615531027317047,1,True,0.45
8,0.37366724014282227,2,False,0.45
9,0.33889228105545044,1,True,0.45
10,0.3545559048652649,2,False,0.45
11,0.38327664136886597,1,True,0.45
12,0.403978168964386,2,False,0.45
13,0.35866665840148926,1,True,0.45
14,0.37096861004829407,2,False,0.45
15,0.39628663659095764,1,True,0.45
16,0.3941611349582672,2,False,0.45
17,0.3967127203941345,1,True,0.45
18,0.41434919834136963,2,False,0.45
19,0.3867429196834564,1,True,0.45
20,0.41097891330718994,2,False,0.45
21,0.4693036675453186,1,True,0.45
22,0.47085198760032654,2,False,0.45
23,0.479400098323822,3,False,0.45
24,0.48340514302253723,4,False,0.45
25,0.49084222316741943,5,False,0.45
26,0.5015466213226318,6,False,0.45
27,0.4937068223953247,7,False,0.45
28,0.48225143551826477,8,False,0.45
29,0.48544976115226746,9,False,0.45
30,0.49534156918525696,10,False,0.45
31,0.5902165174484253,1,True,0.45
32,0.5905294418334961,2,False,0.45
33,0.5768412351608276,3,False,0.45
34,0.5595468282699585,4,False,0.45
35,0.5578014850616455,5,False,0.45
36,0.5435805320739746,6,False,0.45
37,0.5377247929573059,7,False,0.45
38,0.5262998342514038,8,False,0.45
39,0.5152392983436584,9,False,0.45
40,0.5085172653198242,10,False,0.45
41,0.38797444105148315,1,True,0.45
42,0.39214038848876953,2,False,0.45
43,0.4063272476196289,1,True,0.45
44,0.4044392704963684,2,False,0.45
45,0.3081408739089966,1,True,0.45
46,0.3014598488807678,2,False,0.45
47,0.32666224241256714,1,True,0.45
48,0.3228283226490021,2,False,0.45
49,0.2706879675388336,1,True,0.45
50,0.2711670398712158,2,False,0.45
51,0.36143040657043457,1,True,0.45
52,0.3405512571334839,2,False,0.45
53,0.2799166142940521,1,True,0.45
54,0.26155397295951843,2,False,0.45
55,0.26180216670036316,1,True,0.45
56,0.26577290892601013,2,False,0.45
