step,held_p,duration,is_locked,threshold
0,0.5573755502700806,0,True,0.35
1,0.35150766372680664,1,True,0.35
2,0.34660279750823975,2,False,0.35
3,0.33344897627830505,3,False,0.35
4,0.4348262846469879,1,True,0.35
5,0.4234086275100708,2,False,0.35
6,0.412190705537796,3,False,0.35
7,0.4054862856864929,4,False,0.35
8,0.4214995801448822,5,False,0.35
9,0.4273715317249298,6,False,0.35
10,0.44623494148254395,7,False,0.35
11,0.4513225555419922,8,False,0.35
12,0.45528146624565125,9,False,0.35
13,0.4659392237663269,10,False,0.35
14,0.3873216211795807,1,True,0.35
15,0.4067005515098572,2,False,0.35
16,0.41489890217781067,3,False,0.35
17,0.4347183108329773,4,False,0.35
18,0.46113017201423645,5,False,0.35
19,0.48191583156585693,6,False,0.35
20,0.5099791288375854,7,False,0.35
21,0.5403149127960205,8,False,0.35
22,0.5519055724143982,9,False,0.35
23,0.5813199281692505,10,False,0.35
24,0.5228608846664429,1,True,0.35
25,0.5373927354812622,2,False,0.35
26,0.5381667613983154,3,False,0.35
27,0.528605043888092,4,False,0.35
28,0.5178545713424683,5,False,0.35
29,0.5242210626602173,6,False,0.35
30,0.5350213646888733,7,False,0.35
31,0.5417059659957886,8,False,0.35
32,0.5425118207931519,9,False,0.35
33,0.5356529951095581,10,False,0.35
34,0.401994526386261,1,True,0.35
35,0.394592821598053,2,False,0.35
36,0.37634938955307007,3,False,0.35
37,0.3672569692134857,4,False,0.35
38,0.36322057247161865,5,False,0.35
39,0.3580928444862366,6,False,0.35
40,0.3643511235713959,7,False,0.35
41,0.3759949803352356,8,False,0.35
42,0.38093119859695435,9,False,0.35
43,0.37786757946014404,10,False,0.35
44,0.3789406716823578,1,True,0.35
45,0.36528974771499634,2,False,0.35
46,0.3654210865497589,3,False,0.35
47,0.3550887107849121,4,False,0.35
48,0.35484927892684937,5,False,0.35
49,0.35476014018058777,6,False,0.35
50,0.3616565465927124,7,False,0.35
51,0.36080271005630493,8,False,0.35
52,0.3531206250190735,9,False,0.35
53,0.3507164716720581,10,False,0.35
54,0.2729586958885193,1,True,0.35
55,0.2655044198036194,2,False,0.35
56,0.23065917193889618,1,True,0.35
