Date,CMCSA.O,AMGN.O,INTU.O,CSGP.O,CPRT.O,AMAT.O,ODFL.O,COST.O,AEP.O,MNST.O,EXC.O,BIIB.O,CSX.O,FAST.O,INTC.O,CSCO.O,MCHP.O,MAR.O,KLAC.O,CCEP.O,HON.O,ASML.O,CTAS.O,ADP.O,AZN.O,MSFT.O,BKNG.O,ADI.O,AMD.O,IDXX.O,CDNS.O,ADBE.O,EA.O,CTSH.O,ADSK.O,AMZN.O,GILD.O,AAPL.O,LRCX.O
2024-04-01,0.02564102564102563,0.02564102564102563,0.02564102564102563,0.02564102564102563,0.02564102564102563,0.02564102564102563,0.02564102564102563,0.025641025641025633,0.02564102564102563,0.02564102564102563,0.025641025641025633,0.02564102564102563,0.02564102564102563,0.02564102564102563,0.02564102564102563,0.02564102564102563,0.02564102564102563,0.025641025641025633,0.02564102564102563,0.02564102564102563,0.02564102564102563,0.02564102564102563,0.025641025641025626,0.02564102564102563,0.02564102564102563,0.025641025641025626,0.02564102564102563,0.02564102564102563,0.02564102564102563,0.02564102564102563,0.025641025641025626,0.02564102564102563,0.02564102564102563,0.02564102564102563,0.02564102564102563,0.02564102564102563,0.02564102564102563,0.025641025641025633,0.02564102564102563
2024-04-02,0.025841339796948005,0.02531427008429847,0.025403052151982377,0.02556973397013734,0.02557393117491116,0.02561953549417937,0.02575589432868155,0.025582726686876726,0.026139628924512694,0.02556285248926795,0.02618409491778692,0.025072054250352693,0.02574980444245239,0.025842010315884224,0.02560228477869418,0.025587725148798063,0.025431484953449702,0.025569699791863867,0.025321719552865364,0.025820431262334426,0.025711659364658836,0.025254725827637374,0.025757268062145067,0.026188730301524715,0.025843798193643637,0.02574899462446594,0.02592002392537864,0.025710670716487093,0.025283730502905208,0.02541695296541888,0.025460702103274214,0.025791436508015436,0.025708725296487368,0.025914922734722613,0.024867386185851475,0.025900095091190733,0.025659045014128627,0.02575868070268063,0.025558177363106095
2024-04-03,0.02571542147013658,0.025196407750535357,0.025303893049791363,0.025671682286893566,0.025674601247442735,0.025824737426949615,0.026192798974003697,0.025427569031840482,0.025917183847360886,0.025182218898920534,0.025973909155541743,0.024965677902342158,0.025733502465023348,0.025906435103416114,0.023542021380392207,0.025519528414089294,0.025524524741891513,0.025911352845703384,0.025499829606102063,0.02586034965410614,0.02546813820184096,0.025656004025797215,0.025923333619207074,0.02596880086918881,0.025817837710205543,0.02573568525053641,0.026450338274637903,0.025821331796324502,0.0256235804319339,0.025579315427299087,0.025858817237077173,0.025724932191566397,0.025828052461119702,0.026020467894873424,0.024679661496138393,0.026194658468129954,0.02527826694677163,0.025929789586760715,0.0258973428581086
2024-04-04,0.025841868097400866,0.024988960791170734,0.025617183717242035,0.025626050102078267,0.02532389678878633,0.02571244369809251,0.026375209333916814,0.025784028942878505,0.026195268366676763,0.025473199016115458,0.02637538022232934,0.025212123011221183,0.02590904547177916,0.025893328266739825,0.023543921760200013,0.02557214684830999,0.02535938897028748,0.026126336307718646,0.024967370560316404,0.02617685923769983,0.025604091731808224,0.02533189732717254,0.02576103220882503,0.02597163528438496,0.0264177739586427,0.02596675490406654,0.026035467944022735,0.025755846087946174,0.023862792795049284,0.02567336437915995,0.025904906141336503,0.02559533806718438,0.025634561036500917,0.026330988584891402,0.024894741137140353,0.026241056431005823,0.025177010837472185,0.02619471861485603,0.025572013017574186
2024-04-05,0.02544738270754565,0.02490544450869934,0.025945791985575724,0.026176663295356388,0.025429602075193427,0.026008012840529258,0.026885308925349273,0.02584085286391598,0.025924745835920016,0.025280974434655046,0.026190274996273584,0.024780905730638705,0.02577232986057818,0.02612675887414844,0.02270527659209818,0.02554256173329283,0.025481680475848128,0.026383260316454823,0.025083113244309202,0.026113120999230455,0.025484885921480547,0.025760720756126884,0.025850278434730607,0.026064154240192317,0.02619078083863337,0.026171550622023563,0.026354798725402768,0.02586609422139214,0.024272925061027895,0.025481885922391,0.025769274117140178,0.025230530899134972,0.025515813221761927,0.025887474518122126,0.024633538518931783,0.02670473174187755,0.02493072117352436,0.02604401022789803,0.025761768542595296
2024-04-08,0.025314813548406378,0.024822175305075144,0.02632021401880873,0.02601548851483246,0.025293845484880794,0.026142093049829698,0.02688443127830172,0.025757094939027253,0.026008818147353518,0.025153648492235028,0.02648387417315571,0.024898064787543726,0.025580329989635806,0.02585979524034332,0.022264472147956512,0.025365085697212783,0.025926738108033004,0.026446189675966777,0.025361866078953032,0.02592882871557922,0.025549251608139707,0.025829178509427664,0.025978672572746404,0.02623982037393972,0.026272958419449693,0.026099552202416918,0.026334525249041896,0.026107614240473823,0.02418514805329661,0.025230192419911597,0.026011364625419024,0.025172570189891517,0.02544459250250622,0.025847342415656265,0.024735262850098343,0.02670690390527062,0.024859297048953788,0.02585580471698072,0.025712080703248583
2024-04-09,0.02479831878854075,0.024761119669858833,0.026131057255415608,0.026243303227854647,0.02530639530997618,0.0261360765935978,0.026445343906759892,0.025827181907206957,0.02608183624268873,0.02502901445189427,0.026368044672451317,0.024919702015739592,0.025337445450984958,0.02568889142968711,0.022318207984866795,0.026118543073702823,0.02647992941091389,0.026294765805926004,0.02541008984842506,0.02562687597392067,0.025460465831602774,0.025840974596606427,0.025815010278866225,0.026419085752102323,0.026369564577254936,0.02602683208657785,0.026014019327770754,0.026911228561215375,0.024146569488291907,0.02530894738677622,0.0258626307364121,0.02542988572457772,0.025407244332668687,0.025853782052408424,0.024772383896434914,0.02659566218229293,0.024876708710675974,0.02586754194100113,0.025699319516051426
2024-04-10,0.024971659231238782,0.0248396251015087,0.025948988109958403,0.02530586712368741,0.02545926867587832,0.026457021816898445,0.026013625888165515,0.026435240136447644,0.025989924364533953,0.025047255757011142,0.026159421573648874,0.0247551180606156,0.025403369762398247,0.025748868650047486,0.022047782301960816,0.0261605535441687,0.025901068033296164,0.026703275631381505,0.025504300789593586,0.02567410509909876,0.025555484052010732,0.02589885778465766,0.026014776619245752,0.026437847001379557,0.02672364657199235,0.026304802878923894,0.026513827613242814,0.02634729915994191,0.024054719591933022,0.024985156890139876,0.02574881555981559,0.02560475729491282,0.025586754485495505,0.025731618053946345,0.024308393838402612,0.027112322647799517,0.02466285804247153,0.02603704916068185,0.025844673101468613
2024-04-11,0.025027485337348578,0.024962884303623627,0.025708256886801353,0.02568953699841254,0.025235680264857063,0.026706439940456243,0.02636885398155087,0.02657159941224949,0.0256578792027623,0.0248043290447972,0.02586625756382775,0.024810314709223343,0.025207991442403793,0.02387589399825132,0.022118612385543735,0.02611340952299106,0.026034361544875016,0.026920246122275466,0.02579044592159147,0.025639766315441608,0.025502660411367693,0.026148206351707105,0.025806660654029864,0.02607355821114338,0.027024569021369713,0.026375593767090325,0.026674437018021014,0.02643734448791693,0.02433581928025337,0.02472788251080544,0.02599830708239558,0.025240257271365522,0.02535208280737597,0.025738132205529174,0.024314594540536416,0.027336877749164837,0.024649663383079366,0.02693956415355934,0.02621354419400527
2024-04-12,0.024930411933145304,0.025096990984730803,0.025834870998084774,0.025401501034776182,0.02534569082952646,0.02647111845742877,0.026943572832658046,0.026947886837056366,0.025803652847044136,0.025320243215076095,0.02604142833861734,0.024517032526524395,0.025536291537901396,0.024446232367572686,0.021305630943512937,0.025964001649190084,0.025362589992642424,0.026548268472837488,0.02545150687976477,0.025982302728562418,0.02580718242755228,0.025744144329878167,0.026103112165192687,0.02641864353817568,0.027240746041964494,0.02640968548544966,0.02630076502461553,0.02598883681291311,0.023668938014124393,0.024848659871004083,0.026042098671119618,0.02509471285760614,0.02549054636094376,0.025654502045607947,0.02427603567710156,0.027334604752948445,0.024822778629423,0.02759593889835989,0.025906842989366966
