Date,portfolio_value,daily_return
2024-04-01,0.9884156137497104,-0.011584386250289588
2024-04-02,0.9866037023357506,-0.0018331473003406805
2024-04-03,0.9718472896762325,-0.014956778111193733
2024-04-04,0.9818714748906272,0.010314568266928293
2024-04-05,0.9824282128721402,0.0005670171664524041
2024-04-08,0.9890944555877814,0.006785475649312307
2024-04-09,0.9717091594550814,-0.017576982698147472
2024-04-10,0.9797936240970697,0.008319839906132012
2024-04-11,0.9647402912491162,-0.015363779144639765
2024-04-12,0.9548928988398675,-0.010207298791780171
2024-04-15,0.9534483511213862,-0.0015127850675571433
2024-04-16,0.9393997350715271,-0.014734532849457463
2024-04-17,0.9321694615572723,-0.007696695287767139
2024-04-18,0.9292464029517645,-0.0031357588143088025
2024-04-19,0.9367219022427361,0.008044690049082166
2024-04-22,0.9459594075952563,0.009861523820894261
2024-04-23,0.9492971938680118,0.00352846670370421
2024-04-24,0.9487114751805752,-0.0006170024426703104
2024-04-25,0.9543718130866348,0.0059663428282895475
2024-04-26,0.9586197985176117,0.004451080147933058
2024-04-29,0.9429269237024978,-0.016370280312779976
2024-04-30,0.9377669804006191,-0.0054722621363037845
2024-05-01,0.9430865253218901,0.005672565821200375
2024-05-02,0.9598653903164684,0.01779143752356279
2024-05-03,0.964886554770251,0.005231113137777661
2024-05-06,0.9675348681488714,0.0027446888605998305
2024-05-07,0.9662929867320683,-0.0012835521051340019
2024-05-08,0.9724642912449665,0.006386576946779841
2024-05-09,0.9760992466851962,0.00373788063269266
2024-05-10,0.9747521428318222,-0.0013800890206080215
2024-05-13,0.9779837818673418,0.0033153443768085033
2024-05-14,0.9923457811929461,0.01468531441102425
2024-05-15,0.9897632874593685,-0.0026024131734334807
2024-05-16,0.9877891321316987,-0.001994573200161086
2024-05-17,0.9927195797760161,0.004991396932741415
2024-05-20,0.9906286102576507,-0.002106304298780061
2024-05-21,0.9945006411522369,0.00390866047527039
2024-05-22,0.9820884895917582,-0.012480787891798469
2024-05-23,0.9835242124890717,0.0014619078754403935
2024-05-24,0.9783536318382463,-0.0052571971133683814
2024-05-28,0.9655755982333362,-0.013060751439028498
2024-05-29,0.9644142917094662,-0.001202709063893826
2024-05-30,0.9720990574293066,0.007968324179662202
2024-05-31,0.9688703860518769,-0.0033213398909857877
2024-06-03,0.9725355328816914,0.0037829072728189036
2024-06-04,0.9847570315023882,0.012566634541859509
2024-06-05,0.9830151033347949,-0.0017688913222947398
2024-06-06,0.9808171223758554,-0.0022359584827161346
2024-06-07,0.9838160814903038,0.0030576129290890396
2024-06-10,0.9843346833906712,0.0005271329775193355
2024-06-11,0.9941837642656772,0.010005825296208692
2024-06-12,0.9889374501899678,-0.005277006388838406
2024-06-13,0.9904627839510354,0.0015423966002848944
2024-06-14,1.0014532279349204,0.011096271522735483
2024-06-17,1.0031939543731285,0.0017382004367769736
2024-06-18,1.002589879976052,-0.0006021511537657416
2024-06-20,1.0058021782491067,0.003204000296842547
2024-06-21,1.002713619646861,-0.003070741612055774
2024-06-24,1.0054756984315543,0.0027546038376002257
2024-06-25,1.0021885978240832,-0.0032691994571312105
2024-06-26,1.0055114434517072,0.0033155891364543806
2024-06-27,1.006154912144212,0.0006399416900675402
2024-06-28,1.006154912144212,0.0
